"X";"electricity..high.voltage...DE..electricity.production..deep.geothermal";"electricity..high.voltage...DE..electricity.production..hard.coal";"electricity..high.voltage...DE..electricity.production..hydro..pumped.storage";"electricity..high.voltage...DE..electricity.production..hydro..run.of.river";"electricity..high.voltage...DE..electricity.production..lignite";"electricity..high.voltage...DE..electricity.production..natural.gas..combined.cycle.power.plant";"electricity..high.voltage...DE..electricity.production..natural.gas..conventional.power.plant";"electricity..high.voltage...DE..electricity.production..nuclear..pressure.water.reactor";"electricity..high.voltage...DE..electricity.production..oil";"electricity..low.voltage...DE..electricity.production..photovoltaic..3kWp.slanted.roof.installation..multi.Si..panel..mounted";"electricity..low.voltage...DE..electricity.production..photovoltaic..3kWp.slanted.roof.installation..single.Si..panel..mounted";"electricity..low.voltage...DE..electricity.production..photovoltaic..570kWp.open.ground.installation..multi.Si";"electricity..high.voltage...DE..electricity.production..wind...1MW.turbine..onshore";"electricity..high.voltage...DE..electricity.production..wind...3MW.turbine..onshore";"electricity..high.voltage...DE..electricity.production..wind..1.3MW.turbine..offshore";"electricity..high.voltage...DE..electricity.production..wind..1.3MW.turbine..onshore";"electricity..high.voltage...DE..heat.and.power.co.generation..biogas..gas.engine"
"49";"air filter, decentralized unit, 250 m3/h//[RER] air filter production, decentralized unit, 250 m3/h";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"50";"air filter, in exhaust air valve//[RER] air filter production, in exhaust air valve";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"51";"air input/output unit, heat and power co-generation unit, 160kW electrical//[RER] air input/output unit production, heat and power co-generation unit, 160kW electrical";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"52";"air separation facility//[RER] air separation facility construction";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"53";"aircraft, long haul//[RER] aircraft production, long haul";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"54";"aircraft, medium haul//[RER] aircraft production, medium haul";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"55";"airport//[RER] airport construction";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"56";"alfalfa-grass silage//[CA-QC] alfalfa/grass silage production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"57";"alfalfa-grass mixture, Swiss integrated production//[CH] alfalfa-grass mixture production, Swiss integrated production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"58";"alkyd paint, white, without solvent, in 60% solution state//[RER] alkyd paint production, white, solvent-based, product in 60% solution state";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"59";"alkyd paint, white, without water, in 60% solution state//[RER] alkyd paint production, white, water-based, product in 60% solution state";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"60";"alkyd resin, long oil, without solvent, in 70% white spirit solution state//[RER] alkyd resin production, long oil, product in 70% white spirit solution state";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"61";"alkylbenzene, linear//[CA-QC] alkylbenzene production, linear";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"62";"alkylbenzene, linear//[RER] alkylbenzene production, linear";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"63";"alkylbenzene sulfonate, linear, petrochemical//[RER] alkylbenzene sulfonate production, linear, petrochemical";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"64";"alkylketene dimer sizing agent, for paper production//[RER] alkylketene dimer sizing agent production, for paper production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"65";"alpha-naphthol//[RER] alpha-naphthol production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"66";"alpha-picoline//[RER] alpha-picoline production";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"67";"aluminium alloy, AlMg3//[RER] aluminium alloy production, AlMg3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"68";"aluminium around steel bi-metal stranded cable, 3x3.67mm external diameter wire//[CA-QC] aluminium around steel bi-metal stranded cable production, 3x3.67mm external diameter wire";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"69";"aluminium around steel bi-metal wire, 3.67mm external diameter//[CA-QC] aluminium around steel bi-metal wire production, 3.67 mm external diameter";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"70";"aluminium casting facility//[RER] aluminium casting facility construction";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"71";"aluminium removed by drilling, computer numerical controlled//[RER] aluminium drilling, computer numerical controlled";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"72";"aluminium removed by drilling, conventional//[RER] aluminium drilling, conventional";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
